Neighbour Police Center,District Name,2024,2023,2022,2021,2020,Average,safety_score,Postcode,Longitude,Latitude
Central Police Division - Bukit Merah East NPC,Bukit Merah East,53,66,76,65,60,64,49.18,088762,,
Central Police Division - Marina Bay NPC,Marina Bay,137,158,152,90,77,122.8,0,018962,,
Central Police Division - Rochor NPC,Rochor,70,73,96,72,76,77.4,37.98,208678,,
Clementi Police Division - Bukit Merah West NPC,Bukit Merah West,55,33,43,41,54,45.2,64.91,128496,,
Clementi Police Division - Clementi NPC,Clementi,32,31,31,32,43,33.8,74.45,159682,,
Clementi Police Division - Jurong East NPC,Jurong East,50,45,52,45,46,47.6,62.9,609962,,
Clementi Police Division - Queenstown NPC,Queenstown,70,43,43,71,60,57.4,54.71,149073,,
Tanglin Police Division - Bishan NPC,Bishan,26,29,25,37,19,27.2,79.97,579757,,
Tanglin Police Division - Bukit Timah NPC,Bukit Timah,23,31,31,33,29,29.4,78.13,268914,,
Tanglin Police Division - Kampong Java NPC,Kampong Java,33,36,31,45,39,36.8,71.94,228892,,
Tanglin Police Division - Orchard NPC,Orchard,134,129,137,66,62,105.6,14.39,239572,,
Tanglin Police Division - Toa Payoh NPC,Toa Payoh,34,53,50,49,53,47.8,62.74,319194,,
Ang Mo Kio Police Division - Ang Mo Kio North NPC,Ang Mo Kio North,18,28,34,35,35,30,77.62,569784,,
Ang Mo Kio Police Division - Ang Mo Kio South NPC,Ang Mo Kio South,15,34,26,30,13,23.6,82.98,569929,,
Ang Mo Kio Police Division - Hougang NPC,Hougang,25,48,68,57,51,49.8,61.06,538775,,
Ang Mo Kio Police Division - Punggol NPC,Punggol,56,39,51,44,43,46.6,63.74,828727,,
Ang Mo Kio Police Division - Sengkang NPC,Sengkang,67,62,68,83,56,67.2,46.51,545025,,
Ang Mo Kio Police Division - Serangoon NPC,Serangoon,32,33,56,38,25,36.8,71.94,569929,,
Ang Mo Kio Police Division - Woodleigh NPC,Woodleigh,40,13,na,na,na,26.5,80.55,367897,,
Bedok Police Division - Bedok NPC,Bedok,55,78,91,80,64,73.6,41.15,469676,,
Bedok Police Division - Changi NPC,Changi,33,36,47,32,14,32.4,75.62,529914,,
Bedok Police Division - Geylang NPC,Geylang,75,79,90,73,76,78.6,36.97,397618,,
Bedok Police Division - Marine Parade NPC,Marine Parade,35,36,39,32,36,35.6,72.94,449296,,
Bedok Police Division - Pasir Ris NPC,Pasir Ris,24,36,39,33,27,31.8,76.12,519457,,
Bedok Police Division - Tampines NPC,Tampines,34,54,61,56,42,49.4,61.4,529682,,
Jurong Police Division - Bukit Batok NPC,Bukit Batok,60,61,42,52,46,52.2,59.05,659840,,
Jurong Police Division - Bukit Panjang NPC,Bukit Panjang,36,34,28,32,36,33.2,74.95,677738,,
Jurong Police Division - Choa Chu Kang NPC,Choa Chu Kang,54,53,50,61,63,56.2,55.71,689286,,
Jurong Police Division - Jurong West NPC,Jurong West,56,57,57,63,46,55.8,56.04,649818,,
Jurong Police Division - Nanyang NPC,Nanyang,55,61,66,54,57,58.6,53.7,649482,,
Woodlands Police Division - Woodlands East NPC,Woodlands East,39,36,35,45,47,40.4,68.93,737890,,
Woodlands Police Division - Woodlands West NPC,Woodlands West,34,40,35,38,43,38,70.93,738619,,
Woodlands Police Division - Yishun North NPC,Yishun North,32,37,43,42,59,42.6,67.08,768827,,
Woodlands Police Division - Yishun South NPC,Yishun South,16,10,18,26,26,19.2,86.66,768456,,
Woodlands Police Division - Sembawang NPC,Sembawang,19,33,38,35,46,34.2,74.11,757633,,
Woodlands Police Division - Checkpoint,Checkpoint,na,0,3,4,6,3.25,100,738203,,
